Year,Field-Location,RecId,Source,Pedigree,Replicate,Block,Plot,Range,Pass,"LOCAL_CHECK (Yes, No[Blank])",Plot Length Field,Alley Length,Row Spacing,Plot Area,Rows/Plot,Packet/Plot,Kernels/Packet,# Seed,Date Planted,Date Harvested,Anthesis [date],Silking [date],Pollen DAP [days],Silk DAP [days],Plant Height [cm],Ear Height [cm],Stand Count [plants],Root Lodging [plants],Stalk Lodging [plants],Grain Moisture [%],Test Weight [lbs/bu],Plot Weight [lbs],Grain Yield [bu/A],"Plot Discarded [enter ""yes"" or ""blank""]",Comments,"Filler [enter ""filler"" or ""blank""]",[add additional measurements here]
2014,TXH1,2218825,LOCAL_CHECK,DEKALB 64-69,2,5,113,14,25,Yes,25,4,30,105,,,,47,3/1/14,8/21/14,5/23/14,5/22/14,83,82,193,94,92,,,11.8,58.9,32.54,251.616994,,,,
2014,MNH1,2235804,13WJWE:CG102:1227,PHN11_LH145_0002/CG102,2,1,42,9,21,,28,6,30,110,,,,40,5/16/14,10/16/14,7/20/14,7/23/14,65,68,190,86,92,0,0,30.5,52.5,30.51,177.4505959,,,,
2014,TXH1,2218560,WE13-80ISO-227-X-POL-80,MOG_NC230-043-1-1-1-1-B/PB80,1,5,98,6,30,,25,4,30,105,,,,47,3/1/14,8/21/14,5/25/14,5/25/14,85,85,211,127,89,,,11.7,60.3,16.28,126.0285501,,,,
2014,TXH1,2218682,13SAJL:NURSE:0145,PHG39/PHN82,2,3,50,12,32,,25,4,30,105,,,,47,3/1/14,8/21/14,5/21/14,5/22/14,81,82,196,91,88,,,12.4,57.5,24.63,189.1569723,,,,
2014,TXH1,2218600,WE13-195ISO-149-X-POL-195,TX303/LH195,1,10,258,11,25,,25,4,30,105,,,,47,3/1/14,8/21/14,5/27/14,5/28/14,87,88,213,107,87,,,12.9,57.6,26.91,205.4876325,,,,
2014,TXH1,2218781,WE13-80ISO-418-X-POL-80,MOG_MO45-045-1-1-1-1-B/PB80,2,5,105,14,17,,25,4,30,105,,,,47,3/1/14,8/21/14,5/19/14,5/21/14,79,81,211,97,87,,,12.2,58.9,22.18,170.7300209,,,,
2014,IAH1a,2185067,13WJWE:LH198:3022,M0014/LH198,2,1,9,2,43,,20,3,30,85,,,,72,5/17/14,10/21/14,7/21/14,7/24/14,65,68,227,120,87,0,1,21.2,54,19.16,163.5106072,,,,
2014,TXH1,2218789,WE13-80ISO-062-X-POL-80,MOG_NC230-008-1-1-1-1-B/PB80,2,5,120,14,32,,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/23/14,82,83,211,127,87,,,12.1,58.1,19.66,151.5047414,,,,
2014,TXH1,2218749,WE13-80ISO-200-X-POL-80.2,Z013E0046/PB80,2,8,193,16,35,,25,4,30,105,,,,47,3/1/14,8/21/14,5/28/14,5/28/14,88,88,175,84,87,,,11.8,60.4,15.12,116.9160709,,,,
2014,TXH1,2218584,LOCAL_CHECK,DEKALB 64-69,1,2,30,4,32,Yes,25,4,30,105,,,,47,3/1/14,8/21/14,5/22/14,5/22/14,82,82,188,99,86,,,12.2,59.9,29.92,230.3084863,,,,
